support,itemsets
0.902,"frozenset({'Travel_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Miscellaneous_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Shopping_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.839,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Food_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.844,"frozenset({'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'KidsPets_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.829,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Grocery_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Shopping_Freq'})"
0.837,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'HealthFitness_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.77,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.737,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.759,"frozenset({'Travel_Freq', 'Home_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.742,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.757,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.733,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.844,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Home_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.81,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Home_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'KidsPets_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'KidsPets_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.829,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Grocery_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.844,"frozenset({'PersonalCare_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.844,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.74,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.844,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.765,"frozenset({'Travel_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.81,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.918,"frozenset({'Home_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'Shopping_Freq'})"
0.734,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'Home_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Home_Freq', 'Shopping_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'KidsPets_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.829,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'KidsPets_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
1,"frozenset({'KidsPets_Freq', 'Shopping_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Travel_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq'})"
0.902,"frozenset({'Travel_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'Shopping_Freq', 'Grocery_Freq'})"
0.829,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.733,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'Shopping_Freq'})"
0.837,"frozenset({'Entertainment_Freq', 'Home_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.839,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.812,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'Shopping_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.77,"frozenset({'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.837,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.737,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'Food_Freq'})"
0.837,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.759,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'Food_Freq'})"
0.839,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.839,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.742,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.839,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.757,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.812,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.913,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.733,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.844,"frozenset({'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.81,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.813,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.829,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Grocery_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Shopping_Freq', 'HealthFitness_Freq'})"
0.844,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.844,"frozenset({'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.74,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.844,"frozenset({'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.765,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.81,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq', 'Shopping_Freq'})"
0.734,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'Home_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Home_Freq', 'Shopping_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq', 'KidsPets_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.829,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'KidsPets_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq', 'Shopping_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'KidsPets_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'KidsPets_Freq', 'Shopping_Freq'})"
0.813,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Shopping_Freq', 'Grocery_Freq'})"
0.829,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.733,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Shopping_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Grocery_Freq', 'Shopping_Freq'})"
0.803,"frozenset({'Travel_Freq', 'Entertainment_Freq', 'Miscellaneous_Freq', 'Shopping_Freq'})"
0.837,"frozenset({'Home_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.77,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'Grocery_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.737,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'HealthFitness_Freq', 'Home_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.759,"frozenset({'Travel_Freq', 'Home_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'HealthFitness_Freq', 'KidsPets_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.839,"frozenset({'Grocery_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.742,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.839,"frozenset({'HealthFitness_Freq', 'PersonalCare_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.757,"frozenset({'Travel_Freq', 'PersonalCare_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'Grocery_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.913,"frozenset({'HealthFitness_Freq', 'Grocery_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Grocery_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.812,"frozenset({'HealthFitness_Freq', 'Miscellaneous_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.733,"frozenset({'Travel_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'HealthFitness_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.77,"frozenset({'PersonalCare_Freq', 'Home_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.737,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.759,"frozenset({'Travel_Freq', 'Home_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.77,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.674,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.77,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.699,"frozenset({'Travel_Freq', 'Home_Freq', 'PersonalCare_Freq', 'Food_Freq'})"
0.737,"frozenset({'Miscellaneous_Freq', 'Home_Freq', 'Grocery_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'Grocery_Freq', 'Shopping_Freq', 'Food_Freq'})"
0.759,"frozenset({'Travel_Freq', 'Home_Freq', 'Grocery_Freq', 'Food_Freq'})"
