support,itemsets
0.919,"frozenset({'KidsPets_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'KidsPets_Freq'})"
0.89,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq'})"
0.902,"frozenset({'KidsPets_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq'})"
0.803,"frozenset({'Miscellaneous_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'Travel_Freq'})"
0.913,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.837,"frozenset({'Home_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.839,"frozenset({'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.812,"frozenset({'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.824,"frozenset({'Food_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.919,"frozenset({'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.902,"frozenset({'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Entertainment_Freq'})"
0.844,"frozenset({'Home_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq', 'Entertainment_Freq'})"
0.81,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'Entertainment_Freq'})"
0.831,"frozenset({'Home_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.919,"frozenset({'KidsPets_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Entertainment_Freq'})"
0.89,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Entertainment_Freq'})"
0.902,"frozenset({'KidsPets_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.803,"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.837,"frozenset({'Home_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.839,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.812,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.824,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.837,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq'})"
0.77,"frozenset({'Home_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.837,"frozenset({'Grocery_Freq', 'Home_Freq', 'Food_Freq'})"
0.737,"frozenset({'Home_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.837,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq'})"
0.759,"frozenset({'Home_Freq', 'Food_Freq', 'Travel_Freq'})"
0.839,"frozenset({'KidsPets_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Grocery_Freq'})"
0.812,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Food_Freq'})"
0.824,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Travel_Freq'})"
0.839,"frozenset({'Grocery_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.742,"frozenset({'Food_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.839,"frozenset({'Shopping_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.757,"frozenset({'Food_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Grocery_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq', 'Grocery_Freq'})"
0.824,"frozenset({'Grocery_Freq', 'Food_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Shopping_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.733,"frozenset({'Food_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.824,"frozenset({'Shopping_Freq', 'Food_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.844,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.81,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'HealthFitness_Freq'})"
0.831,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.919,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'HealthFitness_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq'})"
0.803,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.844,"frozenset({'Home_Freq', 'KidsPets_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.81,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'KidsPets_Freq'})"
0.831,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Travel_Freq'})"
0.844,"frozenset({'Grocery_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.74,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.844,"frozenset({'Shopping_Freq', 'Home_Freq', 'PersonalCare_Freq'})"
0.765,"frozenset({'Home_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.81,"frozenset({'Grocery_Freq', 'Home_Freq', 'Miscellaneous_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'Grocery_Freq'})"
0.831,"frozenset({'Grocery_Freq', 'Home_Freq', 'Travel_Freq'})"
0.81,"frozenset({'Shopping_Freq', 'Home_Freq', 'Miscellaneous_Freq'})"
0.734,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.831,"frozenset({'Shopping_Freq', 'Home_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'KidsPets_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq'})"
0.803,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Travel_Freq'})"
0.813,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.829,"frozenset({'Grocery_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.813,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.733,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.829,"frozenset({'Shopping_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Grocery_Freq'})"
0.803,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'Grocery_Freq', 'Travel_Freq'})"
0.803,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.837,"frozenset({'Home_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.839,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.824,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.837,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.77,"frozenset({'Home_Freq', 'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.837,"frozenset({'Grocery_Freq', 'Home_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.737,"frozenset({'Home_Freq', 'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.837,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.759,"frozenset({'Home_Freq', 'Food_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.839,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.812,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Shopping_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.824,"frozenset({'KidsPets_Freq', 'Food_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.839,"frozenset({'Grocery_Freq', 'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.742,"frozenset({'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.839,"frozenset({'Shopping_Freq', 'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.757,"frozenset({'Food_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Grocery_Freq', 'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Shopping_Freq', 'Food_Freq', 'Entertainment_Freq'})"
0.824,"frozenset({'Grocery_Freq', 'Food_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Shopping_Freq', 'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.733,"frozenset({'Food_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.824,"frozenset({'Shopping_Freq', 'Food_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.844,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.81,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.831,"frozenset({'Home_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.919,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.902,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'HealthFitness_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq'})"
0.803,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'HealthFitness_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.844,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq', 'KidsPets_Freq', 'Entertainment_Freq'})"
0.81,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'KidsPets_Freq', 'Entertainment_Freq'})"
0.831,"frozenset({'Home_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.844,"frozenset({'Grocery_Freq', 'Home_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.74,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.844,"frozenset({'Shopping_Freq', 'Home_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.765,"frozenset({'Home_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.81,"frozenset({'Grocery_Freq', 'Home_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.831,"frozenset({'Grocery_Freq', 'Home_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.81,"frozenset({'Shopping_Freq', 'Home_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.734,"frozenset({'Home_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.831,"frozenset({'Shopping_Freq', 'Home_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.919,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.813,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.829,"frozenset({'KidsPets_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.902,"frozenset({'Grocery_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq'})"
0.803,"frozenset({'KidsPets_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.813,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'Shopping_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Grocery_Freq'})"
0.829,"frozenset({'Grocery_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.813,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq'})"
0.733,"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.829,"frozenset({'Shopping_Freq', 'Entertainment_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.89,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.803,"frozenset({'Grocery_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.902,"frozenset({'Shopping_Freq', 'Travel_Freq', 'Entertainment_Freq', 'Grocery_Freq'})"
0.803,"frozenset({'Shopping_Freq', 'Miscellaneous_Freq', 'Entertainment_Freq', 'Travel_Freq'})"
0.837,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.77,"frozenset({'Home_Freq', 'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.837,"frozenset({'Grocery_Freq', 'Home_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.737,"frozenset({'Home_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
0.837,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.759,"frozenset({'Home_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.839,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Grocery_Freq'})"
0.812,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq'})"
0.824,"frozenset({'KidsPets_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.839,"frozenset({'Grocery_Freq', 'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.742,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.839,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq'})"
0.757,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Grocery_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Grocery_Freq'})"
0.824,"frozenset({'Grocery_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.812,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq'})"
0.733,"frozenset({'Food_Freq', 'HealthFitness_Freq', 'Miscellaneous_Freq', 'Travel_Freq'})"
0.824,"frozenset({'Shopping_Freq', 'Food_Freq', 'HealthFitness_Freq', 'Travel_Freq'})"
0.77,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.837,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'Grocery_Freq'})"
0.737,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.837,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq', 'KidsPets_Freq'})"
0.759,"frozenset({'KidsPets_Freq', 'Home_Freq', 'Food_Freq', 'Travel_Freq'})"
0.77,"frozenset({'Grocery_Freq', 'Home_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.674,"frozenset({'Home_Freq', 'Food_Freq', 'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.77,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq', 'PersonalCare_Freq'})"
0.699,"frozenset({'Home_Freq', 'Food_Freq', 'PersonalCare_Freq', 'Travel_Freq'})"
0.737,"frozenset({'Grocery_Freq', 'Home_Freq', 'Food_Freq', 'Miscellaneous_Freq'})"
0.837,"frozenset({'Shopping_Freq', 'Home_Freq', 'Food_Freq', 'Grocery_Freq'})"
